0.201,5257.7266
0.268,6334.1182
0.335,7933.7632
0.402,10018.6807
0.469,11747.9346
0.536,12346.6074
0.603,11783.5518
0.67,10625.7998
0.737,9767.4814
0.804,9542.9102
0.871,9840.7617
0.938,10207.7666
1.005,10487.1211
1.072,10608.9873
1.139,10635.1855
1.206,10466.0205
1.273,10657.7715
1.34,11105.5615
1.407,11490.8672
1.474,11900.7354
1.541,12253.3115
1.608,12711.334
1.675,13910.2061
1.742,15802.2656
1.809,17967.0977
1.876,19431.7578
1.943,19490.8906
2.01,18658.832
2.077,17524.4102
2.144,17030.5176
2.211,16998.0098
2.278,17306.1484
2.345,16989.377
2.412,15315.6924
2.479,12916.3164
2.546,10223.001
2.613,7927.8198
2.68,6619.356
2.747,5907.9453
