0.201,3786.9421
0.268,4644.1147
0.335,5969.0264
0.402,7506.4014
0.469,8650.0576
0.536,9044.5703
0.603,8747.8271
0.67,7857.5493
0.737,7067.2349
0.804,6641.2368
0.871,6479.5547
0.938,6491.0591
1.005,6521.7007
1.072,6521.6221
1.139,6587.9453
1.206,6738.5908
1.273,6913.9121
1.34,6866.3511
1.407,6544.0518
1.474,6023.9868
1.541,5599.8423
1.608,5658.605
1.675,5998.2422
1.742,6254.1431
1.809,6121.3516
1.876,5608.2402
1.943,5196.1792
2.01,5008.3076
2.077,5346.4282
2.144,5986.7925
2.211,6562.0791
2.278,6856.4644
2.345,6825.937
2.412,6302.7808
2.479,5464.7383
2.546,4615.2979
2.613,3828.9604
2.68,3361.397
2.747,3120.927
